10.150.96.33 - mastersvr.mtn.co.rw
10.150.67.40 - rwdemerappdr.mtn.co.rw
10.150.67.41 - rwdemerdbdr.mtn.co.rw
10.150.67.39 - mtnrwvipprol1.mtn.co.rw
10.150.67.38 - RWRMEBMSVR3.mtn.co.rw
10.150.67.37 - RWRMCLOUDPRSVR.mtn.co.rw
10.150.95.160 - 10.150.95.160
10.150.95.159 - 10.150.95.159
10.150.95.149 - rwrmsoadb07.mtn.co.rw
10.150.95.148 - rwrmsoadb06.mtn.co.rw
10.150.95.147 - MFTDEVDB.mtn.co.rw
10.150.95.146 - RWRMRISKSECSVR2.mtn.co.rw
10.150.67.45 - rwrmoriogtapp.mtn.co.rw
10.150.96.31 - RWRMARCSGTSVR.mtn.co.rw
10.150.67.47 - 10.150.67.47
10.150.67.48 - 10.150.67.48
10.150.67.45 - rwrmoriogtapp.mtn.co.rw
10.150.95.40 - rwrmuatsql02.mtn.co.rw
10.150.95.41 - rwrmsqluat02a.mtn.co.rw
10.150.95.42 - rwrmsqluat03a.mtn.co.rw
